   0.386468839E+01 -0.490780461E-01 -0.395000000E+00  0.992664614E-13  0.122698413E-05 -0.214679854E+00  0.752065518E-02  0.976655518E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.385000000E+00  0.855608037E-13  0.122698413E-05 -0.215001617E+00  0.753192716E-02  0.976584648E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.375000000E+00  0.661228305E-13  0.122698413E-05 -0.215324322E+00  0.754323216E-02  0.976513459E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.365000000E+00  0.442926158E-13  0.122698413E-05 -0.215647974E+00  0.755457031E-02  0.976441949E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.355000000E+00  0.216408904E-13  0.122698413E-05 -0.215972576E+00  0.756594176E-02  0.976370116E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.345000000E+00  0.856727101E-14  0.122698413E-05 -0.216298133E+00  0.757734666E-02  0.976297957E+00  0.386500000E+01 -0.126984127E-01
   0.386468839E+01 -0.490780461E-01 -0.335000000E+00  0.686954263E-15  0.122698413E-05 -0.216624649E+00  0.758878514E-02  0.976225472E+00  0.386500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.515000000E+00  0.163293700E-14  0.123015873E-05 -0.212328331E+00  0.740467159E-02  0.977170328E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.505000000E+00  0.698517524E-14  0.123015873E-05 -0.212641010E+00  0.741557586E-02  0.977102252E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.495000000E+00  0.215650934E-13  0.123015873E-05 -0.212954589E+00  0.742651152E-02  0.977033873E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.485000000E+00  0.417156857E-13  0.123015873E-05 -0.213269073E+00  0.743747871E-02  0.976965192E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.475000000E+00  0.671628739E-13  0.123015873E-05 -0.213584464E+00  0.744847757E-02  0.976896206E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.465000000E+00  0.865854542E-13  0.123015873E-05 -0.213900767E+00  0.745950822E-02  0.976826913E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.455000000E+00  0.107001911E-12  0.123015873E-05 -0.214217986E+00  0.747057081E-02  0.976757311E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.445000000E+00  0.106206068E-12  0.123015873E-05 -0.214536124E+00  0.748166546E-02  0.976687399E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.435000000E+00  0.109756054E-12  0.123015873E-05 -0.214855186E+00  0.749279232E-02  0.976617175E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.425000000E+00  0.941043071E-13  0.123015873E-05 -0.215175175E+00  0.750395152E-02  0.976546637E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.415000000E+00  0.654612381E-13  0.123015873E-05 -0.215496095E+00  0.751514319E-02  0.976475783E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.405000000E+00  0.417091390E-13  0.123015873E-05 -0.215817950E+00  0.752636748E-02  0.976404612E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.395000000E+00  0.216510139E-13  0.123015873E-05 -0.216140745E+00  0.753762452E-02  0.976333121E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.385000000E+00  0.475017850E-14  0.123015873E-05 -0.216464483E+00  0.754891446E-02  0.976261308E+00  0.387500000E+01 -0.126984127E-01
   0.387468758E+01 -0.492050268E-01 -0.375000000E+00  0.340052218E-15  0.123015873E-05 -0.216789169E+00  0.756023744E-02  0.976189172E+00  0.387500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.565000000E+00  0.645106213E-15  0.123333333E-05 -0.212204997E+00  0.736725753E-02  0.977197402E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.555000000E+00  0.765114421E-14  0.123333333E-05 -0.212515120E+00  0.737802428E-02  0.977129924E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.545000000E+00  0.226960834E-13  0.123333333E-05 -0.212826129E+00  0.738882179E-02  0.977062150E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.535000000E+00  0.445481285E-13  0.123333333E-05 -0.213138029E+00  0.739965020E-02  0.976994077E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.525000000E+00  0.709898249E-13  0.123333333E-05 -0.213450821E+00  0.741050963E-02  0.976925704E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.515000000E+00  0.101946028E-12  0.123333333E-05 -0.213764512E+00  0.742140022E-02  0.976857030E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.505000000E+00  0.124112344E-12  0.123333333E-05 -0.214079103E+00  0.743232210E-02  0.976788052E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.495000000E+00  0.123720460E-12  0.123333333E-05 -0.214394600E+00  0.744327539E-02  0.976718769E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.485000000E+00  0.128147451E-12  0.123333333E-05 -0.214711005E+00  0.745426024E-02  0.976649179E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.475000000E+00  0.111094707E-12  0.123333333E-05 -0.215028323E+00  0.746527677E-02  0.976579280E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.465000000E+00  0.963768161E-13  0.123333333E-05 -0.215346557E+00  0.747632511E-02  0.976509071E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.455000000E+00  0.709170915E-13  0.123333333E-05 -0.215665712E+00  0.748740541E-02  0.976438549E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.445000000E+00  0.407438163E-13  0.123333333E-05 -0.215985791E+00  0.749851779E-02  0.976367713E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.435000000E+00  0.185338658E-13  0.123333333E-05 -0.216306798E+00  0.750966239E-02  0.976296561E+00  0.388500000E+01 -0.126984127E-01
   0.388468678E+01 -0.493320075E-01 -0.425000000E+00  0.593420605E-14  0.123333333E-05 -0.216628737E+00  0.752083936E-02  0.976225091E+00  0.388500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.615000000E+00  0.530878329E-15  0.123650794E-05 -0.212083522E+00  0.733040876E-02  0.977224050E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.605000000E+00  0.861975205E-14  0.123650794E-05 -0.212391131E+00  0.734104088E-02  0.977157161E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.595000000E+00  0.224103929E-13  0.123650794E-05 -0.212699612E+00  0.735170316E-02  0.977089979E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.585000000E+00  0.447382916E-13  0.123650794E-05 -0.213008969E+00  0.736239571E-02  0.977022504E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.575000000E+00  0.794322519E-13  0.123650794E-05 -0.213319206E+00  0.737311867E-02  0.976954735E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.565000000E+00  0.107437559E-12  0.123650794E-05 -0.213630326E+00  0.738387216E-02  0.976886668E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.555000000E+00  0.121030166E-12  0.123650794E-05 -0.213942334E+00  0.739465631E-02  0.976818303E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.545000000E+00  0.137521607E-12  0.123650794E-05 -0.214255232E+00  0.740547125E-02  0.976749638E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.535000000E+00  0.143681378E-12  0.123650794E-05 -0.214569024E+00  0.741631710E-02  0.976680671E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.525000000E+00  0.133858652E-12  0.123650794E-05 -0.214883715E+00  0.742719400E-02  0.976611400E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.515000000E+00  0.125515000E-12  0.123650794E-05 -0.215199307E+00  0.743810207E-02  0.976541823E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.505000000E+00  0.100462666E-12  0.123650794E-05 -0.215515806E+00  0.744904145E-02  0.976471940E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.495000000E+00  0.679093726E-13  0.123650794E-05 -0.215833213E+00  0.746001226E-02  0.976401747E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.485000000E+00  0.358189054E-13  0.123650794E-05 -0.216151535E+00  0.747101465E-02  0.976331244E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.475000000E+00  0.147004890E-13  0.123650794E-05 -0.216470773E+00  0.748204873E-02  0.976260428E+00  0.389500000E+01 -0.126984127E-01
   0.389468597E+01 -0.494589882E-01 -0.465000000E+00  0.254949389E-14  0.123650794E-05 -0.216790932E+00  0.749311465E-02  0.976189298E+00  0.389500000E+01 -0.126984127E-01
